country,years,students,gdp,expenditure
Colombia,2012,25117,369660000000,4.38999986649
Colombia,2011,25635,335415000000,4.46000003815
Colombia,2010,24391,287018000000,4.82999992371
Colombia,2009,22096,233822000000,4.75
Colombia,2008,20106,243982000000,3.91000008583
Colombia,2007,18385,207416000000,4.05999994278
Colombia,2006,17558,162590000000,3.8900001049
Colombia,2005,17741,146566000000,4.0
Colombia,2004,17459,117075000000,4.07999992371
Colombia,2003,18525,94684582573,4.32999992371
Colombia,2002,16784,97933392356,4.26999998093
Colombia,2001,13087,98203544965,3.71000003815
Colombia,2000,12034,99886577576,3.50999999046
Colombia,1999,10113,86186156584,4.44000005722
Colombia,1998,9851,98443743191,3.93000006676
Comoros,2012,4293,550476566,4.88999986649
Comoros,2011,3920,566024621,4.92999982834
Comoros,2008,3081,517477679,7.71000003815
Comoros,2002,1793,246737680,3.88000011444
Comoros,1998,2341,215394066,3.77999997139
Costa Rica,2004,1625,18596365927,4.88999986649
Costa Rica,2003,1706,17517536016,5.05999994278
Costa Rica,2002,1588,16844378578,5.07000017166
Costa Rica,2001,1364,16403602943,4.71000003815
Costa Rica,2000,1167,15946443103,4.38999986649
Costa Rica,1999,1133,15796567138,4.86999988556
Croatia,2011,9950,62249565359,4.15999984741
Croatia,2010,9966,59680624422,4.25
Croatia,2009,9845,62703095751,4.38999986649
Croatia,2008,9479,70481451814,4.26999998093
Croatia,2007,8931,60093155533,3.97000002861
Croatia,2004,13564,41574530816,3.81999993324
Croatia,2003,13419,34658113497,3.86999988556
Croatia,2002,12943,26878499206,3.80999994278
Cuba,2010,2119,64328200000,12.8400001526
Cuba,2009,1755,62078600000,13.1300001144
Cuba,2008,1592,60806300000,14.0600004196
Cuba,2007,1442,58603500000,11.8699998856
Cuba,2006,1380,52742100000,9.06000041962
Cuba,2005,1283,42644200000,10.5600004196
Cuba,2004,1199,38202800000,10.2700004578
Cuba,2003,1737,35901500000,9.93999958038
Cuba,2002,1387,33590400000,9.56999969482
Cuba,2001,1609,31683300000,8.35999965668
Cuba,2000,1678,30565200000,7.69999980927
Cuba,1999,1325,28365300000,6.76000022888
Cuba,1998,1328,25736600000,6.21000003815
Cyprus,2011,26980,27089174646,6.63999986649
Cyprus,2010,27059,25247424011,6.65999984741
Cyprus,2009,25734,25593262401,7.30000019073
Cyprus,2008,24386,27493064742,6.80999994278
Cyprus,2007,23078,23716042497,6.34999990463
Cyprus,2006,19249,19866878479,6.40000009537
Cyprus,2005,21354,18270009451,6.34000015259
Cyprus,2004,19022,17164625000,6.17000007629
Cyprus,2003,17035,14445240091,6.71999979019
Cyprus,2002,14075,11345759615,5.61999988556
Cyprus,2001,16595,10328979964,5.15000009537
Cyprus,2000,16619,9929632422,5.01999998093
Cyprus,1999,13546,10443559871,4.80000019073
Czech Republic,2012,12088,206442000000,4.26000022888
Czech Republic,2011,11904,227313000000,4.28000020981
Czech Republic,2010,11450,207016000000,4.07000017166
Czech Republic,2009,10543,205730000000,4.17999982834
Czech Republic,2008,9402,235205000000,3.75
Czech Republic,2007,7233,188818000000,3.88000011444
Czech Republic,2006,6935,155213000000,4.21999979019
Czech Republic,2005,6881,135990000000,3.90000009537
Czech Republic,2004,6713,118976000000,4.01999998093
Czech Republic,2003,6890,99300329682,4.15000009537
Czech Republic,2002,6098,81696651659,3.98000001907
Czech Republic,2001,5275,67375623427,3.75999999046
Czech Republic,2000,4551,61474265135,3.66000008583
Czech Republic,1999,4152,64719461255,3.69000005722
Czech Republic,1998,4095,66372594575,3.59999990463
Denmark,2011,6064,341499000000,8.55000019073
Denmark,2010,5328,319811000000,8.61999988556
Denmark,2009,5182,319762000000,8.48999977112
Denmark,2008,4966,352592000000,7.48999977112
Denmark,2007,5081,319500000000,7.61000013351
Denmark,2006,5179,282961000000,7.73000001907
Denmark,2005,5416,264560000000,8.07999992371
Denmark,2004,5455,251243000000,8.21000003815
Denmark,2003,6757,218096000000,8.11999988556
Denmark,2002,6651,178635000000,8.21000003815
Denmark,2001,6327,164791000000,8.22000026703
Denmark,2000,6583,164159000000,8.07999992371
Denmark,1999,6423,177965000000,7.92999982834
Denmark,1998,6162,176992000000,8.10999965668
Djibouti,2010,1793,1128611700,4.48999977112
Djibouti,2007,1542,847918929,8.40999984741
Djibouti,2006,2480,768873684,8.27999973297
Djibouti,2005,2134,708633195,8.36999988556
Djibouti,2004,1868,666072102,9.26000022888
Djibouti,2003,1732,622044666,8.89000034332
Djibouti,2002,1580,591122040,8.44999980927
Djibouti,2001,1375,572417441,7.80999994278
Djibouti,2000,1233,551230862,9.65999984741
Djibouti,1999,1174,536080148,7.63000011444
Dominica,1999,518,267740736,4.98999977112
Dominica,1998,482,258440736,7.15999984741
Dominican Republic,2007,2109,44073886687,2.04999995232
Dominican Republic,2003,2032,21277171990,1.87999999523
Dominican Republic,2002,1691,26571659051,1.97000002861
Dominican Republic,2001,1426,24892595799,2.01999998093
Dominican Republic,2000,1201,23996100575,1.90999996662
Ecuador,2012,10917,87924544000,4.17999982834
Ecuador,2011,10690,79276664000,4.30999994278
Ecuador,2010,10214,69555367000,4.07999992371
Ecuador,2000,3252,18327764882,1.14999997616
Ecuador,1999,2972,19645272636,1.54999995232
Ecuador,1998,2944,27981896948,2.20000004768
El Salvador,2011,2314,23139000000,3.42000007629
El Salvador,2010,3165,21418300000,3.49000000954
El Salvador,2009,3019,20661000000,3.97000002861
El Salvador,2008,2715,21431000000,3.74000000954
El Salvador,2007,2698,20104900000,3.04999995232
El Salvador,2006,2315,18550700000,3.00999999046
El Salvador,2005,2201,17093800000,2.73000001907
El Salvador,2003,2486,15046700000,2.75999999046
El Salvador,2002,2146,14306700000,2.86999988556
El Salvador,2000,1694,13134100000,2.54999995232
El Salvador,1999,1148,12464700000,2.31999993324
El Salvador,1998,1161,12008400000,2.31999993324
Equatorial Guinea,1998,775,370687619,2.19000005722
Eritrea,2006,852,1211161880,2.13000011444
Eritrea,2004,817,1109054002,3.15000009537
Eritrea,2002,998,729321364,3.51999998093
Eritrea,2001,844,752368495,4.05000019073
Eritrea,1999,623,688921326,5.26000022888
Eritrea,1998,601,745526150,4.61999988556
Estonia,2012,4524,23135266649,4.78999996185
Estonia,2011,4305,23168793439,5.09999990463
Estonia,2010,4015,19494662252,5.53000020981
Estonia,2009,3783,19652486802,5.96000003815
Estonia,2008,3525,24194038377,5.51999998093
Estonia,2007,3268,22237065426,4.67000007629
Estonia,2005,3597,14006093769,4.84999990463
Estonia,2004,3498,12059204969,4.90999984741
Estonia,2003,4103,9833875339,5.30000019073
Estonia,2002,3590,7322068381,5.48000001907
Estonia,2001,3981,6245072062,5.25
Estonia,2000,3430,5685773519,5.34000015259
Estonia,1999,3188,5726895230,6.69999980927
Estonia,1998,3145,5617109801,6.30999994278
Ethiopia,2013,5622,47648211133,4.5
Ethiopia,2010,5408,29933790334,4.5
Ethiopia,2009,5113,32437389116,4.42000007629
Ethiopia,2008,4210,27066912635,5.40999984741
Ethiopia,2007,3895,19707616773,5.44999980927
Ethiopia,2006,3583,15280861835,5.48999977112
Ethiopia,2002,3323,7850809498,3.63000011444
Ethiopia,2001,3290,8231326016,3.70000004768
Ethiopia,2000,3588,8242392104,3.98000001907
Fiji,2013,1248,4196100793,4.21999979019
Fiji,2011,1485,3774537140,4.32000017166
Fiji,2009,1849,2870624636,4.5
Fiji,2008,1732,3523185920,4.25
Fiji,2007,1705,3405050612,5.84999990463
Fiji,2006,1712,3102741451,5.61000013351
Fiji,2005,1714,3006725015,5.11999988556
Fiji,2004,1641,2727507213,6.15999984741
Fiji,2002,1915,1842691481,6.23999977112
Fiji,2001,1709,1660102346,5.61999988556
Fiji,2000,1463,1684109743,5.86000013351
Fiji,1999,1411,1942170999,5.15000009537
Fiji,1998,1405,1656784780,5.51000022888
Finland,2012,8143,256706000000,7.19000005722
Finland,2011,7667,273657000000,6.48000001907
Finland,2010,7380,247815000000,6.53999996185
Finland,2009,7071,251499000000,6.48999977112
Finland,2008,6487,283742000000,5.84999990463
Finland,2007,6046,255385000000,5.69000005722
Finland,2006,6084,216553000000,5.94000005722
Finland,2005,5856,204436000000,6.03999996185
Finland,2004,6064,196768000000,6.17000007629
Finland,2003,10461,171071000000,6.17000007629
Finland,2002,10297,139553000000,6.01999998093
Finland,2001,10009,129250000000,5.84999990463
Finland,2000,10236,125540000000,5.71999979019
Finland,1999,9924,135226000000,5.86999988556
France,2012,63713,2681420000000,5.53000020981
France,2011,60135,2862500000000,5.51999998093
France,2010,57174,2646990000000,5.67999982834
France,2009,52946,2693830000000,5.73999977112
France,2008,46076,2923470000000,5.44000005722
France,2007,54611,2663110000000,5.44999980927
France,2006,53352,2325010000000,5.44000005722
France,2005,49154,2203680000000,5.5
France,2004,46573,2124110000000,5.63999986649
France,2003,57356,1848120000000,5.71999979019
France,2002,55844,1500340000000,5.40999984741
France,2001,52618,1382220000000,5.42000007629
France,2000,50465,1368440000000,5.51999998093
France,1999,48316,1500280000000,5.65000009537
France,1998,46748,1510760000000,5.65999984741
Gabon,2000,3063,5067865321,3.82999992371
Gabon,1999,2870,4662992036,3.07999992371
Gabon,1998,2796,4483417120,3.42000007629
Georgia,2012,9966,15846474596,1.98000001907
Georgia,2011,8452,14434619982,2.70000004768
Georgia,2009,8837,10766836277,3.22000002861
Georgia,2008,8329,12795044473,2.92000007629
Georgia,2007,8236,10172869680,2.70000004768
Georgia,2006,7556,7745406201,3.0
Georgia,2005,7374,6410941013,2.48000001907
Georgia,2004,6781,5125273881,2.91000008583
Georgia,2003,6069,3991374549,2.06999993324
Georgia,2002,5270,3395778674,2.24000000954
Georgia,2001,4654,3219487825,2.1400001049
Georgia,2000,4367,3057453483,2.18000006676
Georgia,1999,3902,2800024314,2.16000008583
Georgia,1998,3857,3613500117,2.1099998951
Germany,2012,117691,3539620000000,4.94999980927
Germany,2011,113795,3757460000000,4.80999994278
Germany,2010,104853,3417300000000,4.92000007629
Germany,2009,92753,3418010000000,4.88999986649
Germany,2008,83023,3752370000000,4.42000007629
Germany,2007,78222,3439950000000,4.34999990463
Germany,2006,70750,3002450000000,4.28000020981
Germany,1998,52063,2243230000000,4.46000003815
Ghana,2013,8850,47805069495,5.92999982834
Ghana,2012,8799,41939728979,7.92000007629
Ghana,2011,8871,39566292433,8.14000034332
Ghana,2010,8093,32174772956,5.53999996185
Ghana,2009,7811,25977847814,5.32000017166
Ghana,2008,7741,28526891010,5.76000022888
Ghana,2007,7697,24758819718,5.51999998093
Ghana,2006,7968,20409257610,5.26000022888
Ghana,2005,8355,10731634117,7.42000007629
Ghana,2004,8146,8881368538,7.53999996185
Ghana,2001,4925,5314909954,5.34999990463
Ghana,1999,4219,7719354839,4.11000013351
Greece,2005,41687,247783000000,3.97000002861
Greece,2004,47352,240521000000,3.68000006676
Greece,2003,50531,201924000000,3.44000005722
Greece,2002,55162,153831000000,3.45000004768
Greece,2001,61730,136191000000,3.36999988556
Greece,2000,63676,130495000000,3.22000002861
Greece,1999,66951,142541000000,3.01999998093
Greece,1998,62059,144428000000,2.88000011444
Grenada,2003,537,591018407,3.93000006676
Guatemala,2013,2820,53851148432,2.83999991417
Guatemala,2012,2778,50388460223,2.96000003815
Guatemala,2011,2381,47654787037,2.92000007629
